aero_drag,aero_lift,aero_mom,damp_edge,damp_flap,damp_tors
-0.002508228649151179,-0.0034423634299332786,0.00021236034137113888,-9.38242067437632e-05,-0.0005432061391371214,-3.599917601524211e-05
-0.0024900804376858927,-0.0034440950140283994,0.00021470771555388992,-9.434416557088384e-05,-0.0005422863285489387,-3.7005660991898025e-05
-0.0024684601383364924,-0.0034429265085271846,0.00021669212828799174,-9.458218961274552e-05,-0.0005404480672982705,-3.79277086397506e-05
-0.0024435291142763478,-0.003438913657366831,0.0002183109594206083,-9.454460255665046e-05,-0.0005377185722567405,-3.8759947445101065e-05
-0.0024154560340869085,-0.003432111658464844,0.0002195628650658021,-9.423916744472583e-05,-0.0005341271351935567,-3.9497519811752024e-05
-0.002384415631421755,-0.003422575185765547,0.0002204477441244666,-9.367494447185371e-05,-0.0005297049057644442,-4.013611341601699e-05
-0.0023505875028924173,-0.003410358416286317,0.00022096669957785817,-9.286214960251377e-05,-0.0005244846826546422,-4.067198849097187e-05
-0.002314154949845583,-0.003395515061507134,0.00022112199505944444,-9.181201519852592e-05,-0.000518500713133367,-4.1102000914428086e-05
-0.002275303868870425,-0.0033780984024754323,0.00022091700721457903,-9.053665371290076e-05,-0.0005117885011872551,-4.142362101007427e-05
-0.0022342216950862566,-0.0033581613280287666,0.00022035617435784994,-8.904892537036594e-05,-0.0005043846243215942,-4.163494800574443e-05
-0.0021910964015111126,-0.0033357563755668984,0.00021944494193328875,-8.736231062351294e-05,-0.0004963265590464355,-4.173472012630329e-05
-0.0021461155571090664,-0.0033109357738381135,0.00021818970527602937,-8.549078804712569e-05,-0.0004876525150045389,-4.172232033132528e-05
-0.002099465445456386,-0.0032837514872362684,0.00021659775016146326,-8.344871821240199e-05,-0.00047840127764455924,-4.15977777390413e-05
-0.002051330245359568,-0.003254255261137639,0.00021467719161489415,-8.125073396884052e-05,-0.0004686120592982377,-4.1361764807977975e-05
-0.0020018912741940425,-0.003222498667841622,0.00021243691143625696,-7.891163745478967e-05,-0.00045832435848169325,-4.101559037593501e-05
-0.00195132629422236,-0.003188533152711271,0.00020988649487691628,-7.64463040590438e-05,-0.00044757782721056497,-4.056118868255664e-05
-0.0018998088816824482,-0.0031524100801448357,0.0002070361668822129,-7.386959346513415e-05,-0.0004364121460927722,-4.000110452634024e-05
-0.0018475078580173095,-0.003114180779041928,0.00020389672829221502,-7.119626782777988e-05,-0.0004248669069433578,-3.9338474729614453e-05
-0.0017945454395198609,-0.0030734687371710622,0.0002004750173213287,-6.844091705705837e-05,-0.0004129815026509599,-3.857700610560115e-05
